id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
1,11.83333333,23.26666667,13.08933333,24.74855072,36.93,6.95,7
2,10.20952381,22.42777778,11.35,23.93666667,36.83,7.82,4
3,10.83488372,22.78393574,11.32133333,24.76041667,36.72,3.25,25
4,10.3,22,11.444,24.01533333,36.72,5.07,2
5,6.133333333,22.37479675,7.001282051,24.55933333,36.28,6.62,694
6,8.14,24.9037037,9.353205128,26.146,36.3,2.23,715
7,7.488888889,24.86388889,7.593055556,26.09202899,35.48,8.13,813
8,10.75576923,22.71013514,11.494,24.59027778,35.6,-0.6,90
9,11.79777778,31.44722222,12.484,33.37638889,34.8,5.73,87
10,8.900520833,28.51451613,8.584722222,29.94318182,33.77,2.93,765
11,6.887745098,26.38222222,7.721153846,27.12847222,33.6,-0.3,176
13,10.33809524,31.4,11.09935897,33.04,31.62,-2.23,773
14,11.58333333,31.96666667,12.01805556,34.6057971,31.7,2.9,398
16,12.12903226,33.27204301,12.92430556,35.63650794,30.13,-2.17,499
17,13.86666667,33.4,12.92884615,36.13866667,29.25,0.28,312
18,12.0452381,31.53333333,12.01730769,32.688,28.05,9.63,562
19,13.73333333,35.48333333,14.42948718,36.772,27.88,-0.28,263
20,14.83888889,35.85,15.64294872,37.504,27.2,2.47,293
21,13.94385965,28.10614035,14.13846154,29.57986111,22.78,5.52,1378
22,26.16666667,26.67098765,26.50897436,27.02101449,11.13,2.93,292
23,26.39705882,24.41041667,27.35873016,25.45,10.32,1.38,461
24,26.325,24.59166667,27.67651515,25.21805556,9.35,2.62,393
25,27.60277778,24.68431373,28.53866667,25.60625,8.03,2.47,200
26,27.38020833,24.40416667,28.16212121,25.28985507,7.17,2.07,167
28,24.83859649,29.30175439,24.78666667,30.16041667,14.03,-0.03,277
29,25.56458333,28.29166667,25.56333333,28.90625,13.57,-2.42,336
31,25.74649123,26.42407407,26.44637681,27.26304348,12.03,0.37,309
32,25.70617284,25.45769231,26.69533333,25.89930556,11.17,-4.32,460
